step,loss_to
925,0.067158
926,0.067130
927,0.067102
928,0.067074
929,0.067046
930,0.067019
931,0.066991
932,0.066963
933,0.066935
934,0.066907
935,0.066879
936,0.066851
937,0.066824
938,0.066796
939,0.066768
940,0.066740
941,0.066713
942,0.066685
943,0.066657
944,0.066630
945,0.066602
946,0.066574
947,0.066547
948,0.066519
949,0.066491
950,0.066464
951,0.066436
952,0.066409
953,0.066381
954,0.066354
955,0.066326
956,0.066299
957,0.066271
958,0.066244
959,0.066216
960,0.066189
961,0.066161
962,0.066134
963,0.066107
964,0.066079
965,0.066052
966,0.066025
967,0.065997
968,0.065970
969,0.065943
970,0.065915
971,0.065888
972,0.065861
973,0.065834
974,0.065806
975,0.065779
976,0.065752
977,0.065725
978,0.065698
979,0.065670
980,0.065643
981,0.065616
982,0.065589
983,0.065562
984,0.065535
985,0.065508
986,0.065481
987,0.065454
988,0.065427
989,0.065400
990,0.065373
991,0.065346
992,0.065319
993,0.065292
994,0.065265
995,0.065238
996,0.065211
997,0.065184
998,0.065157
999,0.065131
1000,0.065104
1001,0.065077
1002,0.065050
1003,0.065023
1004,0.064996
1005,0.064970
1006,0.064943
1007,0.064916
1008,0.064889
1009,0.064863
1010,0.064836
1011,0.064809
1012,0.064783
1013,0.064756
1014,0.064729
1015,0.064703
1016,0.064676
1017,0.064649
1018,0.064623
1019,0.064596
1020,0.064570
1021,0.064543
1022,0.064517
1023,0.064490
1024,0.064464
1025,0.064437
1026,0.064411
1027,0.064384
1028,0.064358
1029,0.064331
1030,0.064305
1031,0.064278
1032,0.064252
1033,0.064225
1034,0.064199
1035,0.064173
1036,0.064146
1037,0.064120
1038,0.064094
1039,0.064067
1040,0.064041
1041,0.064015
1042,0.063988
1043,0.063962
1044,0.063936
1045,0.063910
1046,0.063883
1047,0.063857
1048,0.063831
1049,0.063805
1050,0.063779
1051,0.063752
1052,0.063726
1053,0.063700
1054,0.063674
1055,0.063648
1056,0.063622
1057,0.063596
1058,0.063570
1059,0.063543
1060,0.063517
1061,0.063491
1062,0.063465
1063,0.063439
1064,0.063413
1065,0.063387
1066,0.063361
1067,0.063335
1068,0.063309
1069,0.063283
1070,0.063257
1071,0.063232
1072,0.063206
1073,0.063180
1074,0.063154
1075,0.063128
1076,0.063102
1077,0.063076
1078,0.063050
1079,0.063025
1080,0.062999
1081,0.062973
1082,0.062947
1083,0.062921
1084,0.062896
1085,0.062870
1086,0.062844
1087,0.062818
1088,0.062793
1089,0.062767
1090,0.062741
1091,0.062715
1092,0.062690
1093,0.062664
1094,0.062638
1095,0.062613
1096,0.062587
1097,0.062562
1098,0.062536
1099,0.062510
1100,0.062485
1101,0.062459
1102,0.062434
1103,0.062408
1104,0.062383
1105,0.062357
1106,0.062331
1107,0.062306
1108,0.062280
1109,0.062255
1110,0.062230
1111,0.062204
1112,0.062179
1113,0.062153
1114,0.062128
1115,0.062102
1116,0.062077
1117,0.062051
1118,0.062026
1119,0.062001
1120,0.061975
1121,0.061950
1122,0.061925
1123,0.061899
1124,0.061874
1125,0.061849
1126,0.061823
1127,0.061798
1128,0.061773
1129,0.061748
1130,0.061722
1131,0.061697
1132,0.061672
1133,0.061647
1134,0.061621
1135,0.061596
1136,0.061571
1137,0.061546
1138,0.061521
1139,0.061496
1140,0.061470
1141,0.061445
1142,0.061420
1143,0.061395
1144,0.061370
1145,0.061345
1146,0.061320
1147,0.061295
1148,0.061270
1149,0.061245
1150,0.061219
1151,0.061194
1152,0.061169
1153,0.061144
1154,0.061119
1155,0.061094
1156,0.061069
1157,0.061044
1158,0.061020
1159,0.060995
1160,0.060970
1161,0.060945
1162,0.060920
1163,0.060895
1164,0.060870
1165,0.060845
1166,0.060820
1167,0.060795
1168,0.060771
1169,0.060746
1170,0.060721
1171,0.060696
1172,0.060671
1173,0.060646
1174,0.060622
1175,0.060597
1176,0.060572
1177,0.060547
1178,0.060523
1179,0.060498
1180,0.060473
1181,0.060448
1182,0.060424
1183,0.060399
1184,0.060374
1185,0.060349
1186,0.060325
1187,0.060300
1188,0.060275
1189,0.060251
1190,0.060226
1191,0.060202
1192,0.060177
1193,0.060152
1194,0.060128
1195,0.060103
1196,0.060079
1197,0.060054
1198,0.060029
1199,0.060005
1200,0.059980
1201,0.059956
1202,0.059931
1203,0.059907
1204,0.059882
1205,0.059858
1206,0.059833
1207,0.059809
1208,0.059784
1209,0.059760
1210,0.059736
1211,0.059711
1212,0.059687
1213,0.059662
1214,0.059638
1215,0.059613
1216,0.059589
1217,0.059565
1218,0.059540
1219,0.059516
1220,0.059492
1221,0.059467
1222,0.059443
1223,0.059419
1224,0.059394
1225,0.059370
1226,0.059346
1227,0.059321
1228,0.059297
1229,0.059273
1230,0.059249
1231,0.059224
1232,0.059200
1233,0.059176
1234,0.059152
1235,0.059128
1236,0.059103
1237,0.059079
1238,0.059055
1239,0.059031
1240,0.059007
1241,0.058983
1242,0.058958
1243,0.058934
1244,0.058910
1245,0.058886
1246,0.058862
1247,0.058838
1248,0.058814
1249,0.058790
1250,0.058766
1251,0.058742
1252,0.058717
1253,0.058693
1254,0.058669
1255,0.058645
1256,0.058621
1257,0.058597
1258,0.058573
1259,0.058549
1260,0.058525
1261,0.058501
1262,0.058477
1263,0.058453
1264,0.058430
1265,0.058406
1266,0.058382
1267,0.058358
1268,0.058334
1269,0.058310
1270,0.058286
1271,0.058262
1272,0.058238
1273,0.058214
1274,0.058191
1275,0.058167
1276,0.058143
1277,0.058119
1278,0.058095
1279,0.058071
1280,0.058048
1281,0.058024
1282,0.058000
1283,0.057976
1284,0.057953
1285,0.057929
1286,0.057905
1287,0.057881
1288,0.057858
1289,0.057834
1290,0.057810
1291,0.057786
1292,0.057763
1293,0.057739
1294,0.057715
1295,0.057692
1296,0.057668
1297,0.057644
1298,0.057621
1299,0.057597
1300,0.057573
1301,0.057550
1302,0.057526
