step,loss_pa,loss_to
93,1.0440948009490967,0.156485
94,1.0437179803848267,0.155733
95,1.043331265449524,0.154985
96,1.042960286140442,0.154244
97,1.0425851345062256,0.153507
98,1.0421843528747559,0.152776
99,1.0418177843093872,0.152051
100,1.0414481163024902,0.151332
101,1.0410703420639038,0.150618
102,1.040694236755371,0.149910
103,1.0403296947479248,0.149209
104,1.03994882106781,0.148513
105,1.0395667552947998,0.147823
106,1.0391863584518433,0.147139
107,1.038815975189209,0.146462
108,1.0384303331375122,0.145791
109,1.0380545854568481,0.145126
110,1.0376646518707275,0.144467
111,1.037276268005371,0.143815
112,1.0368881225585938,0.143169
113,1.036512017250061,0.142530
114,1.0361500978469849,0.141897
115,1.035764217376709,0.141271
116,1.035370945930481,0.140651
117,1.034989356994629,0.140038
118,1.0346277952194214,0.139431
119,1.0342376232147217,0.138831
120,1.0338681936264038,0.138238
121,1.033504605293274,0.137651
122,1.0331230163574219,0.137071
123,1.0327589511871338,0.136497
124,1.032368779182434,0.135930
125,1.0320066213607788,0.135370
126,1.0316184759140015,0.134816
127,1.0312421321868896,0.134269
128,1.030861258506775,0.133728
129,1.0304944515228271,0.133193
130,1.030107855796814,0.132666
131,1.0297459363937378,0.132144
132,1.0293569564819336,0.131629
133,1.0289568901062012,0.131121
134,1.0285968780517578,0.130619
135,1.0282204151153564,0.130123
136,1.0278316736221313,0.129633
137,1.0274664163589478,0.129149
138,1.0270726680755615,0.128672
139,1.0266757011413574,0.128201
140,1.02629816532135,0.127736
141,1.0259253978729248,0.127277
142,1.0255357027053833,0.126823
143,1.0251777172088623,0.126376
144,1.0247862339019775,0.125935
145,1.024399995803833,0.125499
146,1.0240236520767212,0.125069
147,1.0236384868621826,0.124644
148,1.0232609510421753,0.124226
149,1.022879958152771,0.123812
150,1.022491216659546,0.123404
151,1.0220856666564941,0.123002
152,1.0216869115829468,0.122604
153,1.0213053226470947,0.122212
154,1.0209351778030396,0.121825
155,1.020532250404358,0.121444
156,1.0201624631881714,0.121067
157,1.0197750329971313,0.120695
158,1.0193897485733032,0.120328
159,1.0190143585205078,0.119966
160,1.0186330080032349,0.119608
161,1.0182210206985474,0.119256
162,1.0178507566452026,0.118908
163,1.0174617767333984,0.118564
164,1.0170865058898926,0.118225
165,1.016705870628357,0.117890
166,1.0163277387619019,0.117559
167,1.015930414199829,0.117233
168,1.015545129776001,0.116911
169,1.0151492357254028,0.116593
170,1.014747977256775,0.116279
171,1.0143853425979614,0.115969
172,1.0139853954315186,0.115663
173,1.0135993957519531,0.115361
174,1.0132354497909546,0.115063
175,1.012847661972046,0.114768
176,1.0124633312225342,0.114477
177,1.0120679140090942,0.114190
178,1.0116679668426514,0.113906
179,1.0112758874893188,0.113625
180,1.0108742713928223,0.113349
181,1.010498046875,0.113075
182,1.0100858211517334,0.112805
183,1.0097070932388306,0.112538
184,1.0093004703521729,0.112274
185,1.0089069604873657,0.112014
186,1.008512020111084,0.111756
187,1.0081063508987427,0.111502
188,1.0077040195465088,0.111251
189,1.0072931051254272,0.111002
190,1.006883978843689,0.110757
191,1.006481647491455,0.110514
192,1.0060621500015259,0.110274
193,1.0056676864624023,0.110037
194,1.0052591562271118,0.109803
195,1.0048518180847168,0.109571
196,1.0044275522232056,0.109342
197,1.0040181875228882,0.109115
198,1.003609299659729,0.108891
199,1.0032002925872803,0.108670
200,1.002780795097351,0.108451
201,1.0023813247680664,0.108234
